"par.sam","qrunoff_daily","qrunoff_yearly","qet_daily","qet_monthly","qet_yearly","gpp_daily","gpp_yearly","sat10_daily","sat40_daily","sat100_daily","swcplot10_daily","swcplot40_daily","swcplot100_daily","swc10_daily","swc40_daily","swc100_daily","swc.vert_daily"
53,-1.4115021215194,0.022689660205932,-4.87408488251421,-1.3806041260138,0.0757335654771588,-10.9292483938349,-0.795656188112563,0.415413261460464,0.245300102628017,0.326308916736793,-0.0733141748999062,-11.567023578907,-26.1654461578033,-1.18398525617192,-1.24773803179335,-10.994167027387,-2.04942453705716
54,-1.40147577123717,0.0552187111462928,-11.611235449926,-5.29199895494676,-5.33522721467316,-10.3333269368597,-10.692237176375,-0.0113489522537169,-0.1025811903834,0.00889366226217525,-6.51760094921081,-33.0028508418818,-56.5048976432645,-2.75005537668403,-2.40198101515036,-14.3518590093452,-4.04580200959161
57,-1.40785696190304,0.0426579513463201,-4.44846511874129,-1.23120334613034,0.233564694882594,-17.2335845929147,-0.576628294604297,0.414247148187144,0.246761469387104,0.350408829343899,0.0532750845122181,-10.2239867286957,-20.847509224576,-1.15746946406364,-1.21736564682911,-10.6006759509424,-2.00476208994256
58,-1.40298044072975,0.270500366047835,-5.24146088659852,-1.44770493401513,0.0315936943759245,-16.3691094868633,-0.771152463133822,0.327763478449291,0.178104686135162,0.299370985743872,-0.59811368052607,-13.7044254761972,-25.2716878014132,-1.46891773905155,-1.43748229092391,-11.2305512447693,-2.26253528997706
61,-1.40827036365406,0.00736905464660254,-11.5315692965475,-4.80350331372702,-4.53360548680364,-9.36353302423674,-7.18138711631999,0.0128124403270422,-0.0815236012926199,0.0258041840356644,-6.04220902636339,-31.6803915114763,-54.7367712636744,-2.67532930057092,-2.34738941030756,-14.2471605657155,-3.97803922777567
62,-1.40907882019078,0.328950076135417,-4.09667560529692,-1.14391562898176,0.311939344446828,-19.3093437689332,-0.442223808218142,0.418465037583444,0.245186693722204,0.357734356588943,0.186658692487377,-9.26127027428435,-18.8733643421917,-1.11335289394853,-1.18743841937999,-10.3732821946272,-1.93185205415192
63,-1.45153583066599,0.227414413551889,-16.6843871615464,-8.47438092468717,-10.4444853649703,-22.4044977760617,-27.3390522565124,-0.00274642542379788,-0.0995065940077313,-0.00328655362305375,-6.11319309476177,-31.6009932587679,-55.4454645156812,-2.74108499949596,-2.42064128022113,-14.5284593662476,-4.22492337719961
65,-1.39195183362102,0.191463539174562,-11.1140214932682,-3.77119040655894,-2.84192119416291,-8.60973951977909,-4.21868610645231,0.113188696137063,0.0023782635270112,0.103443322799311,-4.37009898889536,-27.4713354237605,-49.4297474620877,-2.32601721478372,-2.0869049735808,-13.5174590516054,-3.49561406888268
66,-1.40003085384711,0.0375967094426017,-9.11906973150178,-3.05805964096358,-1.90202257544831,-7.73841763435309,-3.52312585529927,0.153039460576911,0.0331425964449211,0.127694226108868,-3.67075628618658,-25.5673043167446,-46.9604892934976,-2.18071722438751,-1.98540303834095,-13.2684728341792,-3.3038793560015
69,-1.40158666237423,0.0208150372626965,-4.54609804121392,-1.27444928597387,0.185916160281797,-22.0033892003749,-0.431056150859682,0.341626007158752,0.186746426202059,0.337180223508864,-0.284802935832237,-11.386328460016,-20.4362056619576,-1.36963981709108,-1.3439640476202,-10.553955951047,-2.0921666316492
70,-1.40784195716863,0.219299557062712,-4.39919013019501,-1.21439995636548,0.248265136751937,-17.8608459429631,-0.542647456954202,0.41398818545467,0.24436382203438,0.351339414477032,0.0715640532469756,-10.0819855327687,-20.567405745689,-1.15099165023588,-1.21444246270683,-10.5531020191499,-1.99546921138089
73,-1.38953177792505,0.00168438520949155,-10.3840592381666,-3.48285425465304,-2.42612107333256,-8.22342071777923,-3.50287401503963,0.152408426342342,0.0329220335198267,0.120550374917494,-3.65567804865815,-25.5109889801369,-47.4123421124786,-2.18552951881362,-1.99113861056065,-13.343687126609,-3.32456181331088
74,-1.40881491358354,0.187025911523667,-3.91152553734027,-1.10315604380466,0.34537209957532,-20.1132439257589,-0.359956998697525,0.43520425904523,0.253744602237865,0.370844778309716,0.272270845518443,-8.62530088736356,-17.8558727586576,-1.04672057205378,-1.13905032790445,-10.1251975292578,-1.85849021340565
77,-1.40029257297932,0.239998958281646,-9.0969599501297,-2.79947238817167,-1.58811693707946,-8.20878375721095,-2.70870284978847,0.155645146909146,0.031625154980802,0.133825947927318,-3.57905810273929,-25.3225974345322,-46.6013825520667,-2.1737392218238,-1.98671526627228,-13.2519568009196,-3.30906018812681
78,-1.41815762232995,0.0922600939811489,-9.87635833253776,-4.02538315558518,-3.50133405671601,-7.92643714617268,-5.81242095695034,0.0290243380132962,-0.0754383741479612,0.0237106228138659,-5.63670666955966,-30.8494951842771,-54.4263899144061,-2.61175319203865,-2.31782743591382,-14.2569200118106,-3.90678292225922
