Sample_ID,Date,Location,Species,Gasex_typeOrSequence,Duplicate_flag,Chem_type,Sample_disc_size,Disc_area_cm2,Num_discs,Leaf_area_cm2,FW_g,DW_g,H20_pc,LMA_gDW_m2,SLA_cm2_g,Canopy_position,,,,,
BNL11119,2016-03-14,PA-PNM,FICUIN,Diurnal 2,1,CHN,15,3.431,2,6.861,0.241,0.0810,66.39,118.05,84.71,sunlit,,,,,
BNL11133,2016-03-14,PA-PNM,ANACEX,Diurnal 2,1,CHN,15,3.431,2,6.861,0.221,0.0688,68.87,100.27,99.73,sunlit,,,,,
BNL11135,2016-03-14,PA-PNM,LUEHSE,Diurnal 2,1,CHN,15,3.431,2,6.861,0.202,0.0990,50.99,144.30,69.30,sunlit,,,,,
BNL11195,2016-03-14,PA-PNM,ALBIAD,Diurnal 2,1,CHN,7,0.801,8,6.409,0.109,0.0576,47.16,89.87,111.28,sunlit,,,,,
BNL11298,2016-03-14,PA-PNM,CASTEL,Diurnal 2,1,CHN,15,3.431,2,6.861,0.166,0.0726,56.24,105.87,94.46,sunlit,,,,,
BNL11070,2016-03-14,PA-PNM,LUEHSE,Diurnal 3,1,CHN,15,3.431,2,6.861,0.178,0.1054,40.79,153.61,65.10,sunlit,,,,,
BNL11071,2016-03-14,PA-PNM,ANACEX,Diurnal 3,1,CHN,15,3.431,2,6.861,0.199,0.0636,68.04,92.69,107.88,sunlit,,,,,
BNL11072,2016-03-14,PA-PNM,CORDAL,Diurnal 3,1,CHN,15,3.431,2,6.861,0.125,0.0620,50.40,90.36,110.67,sunlit,,,,,
BNL11074,2016-03-14,PA-PNM,ANTITR,Diurnal 3,1,CHN,15,3.431,2,6.861,0.154,0.0734,52.34,106.98,93.48,sunlit,,,,,
BNL11076,2016-03-14,PA-PNM,CAL2CA,Diurnal 3,1,CHN,10,1.539,5,7.697,0.140,0.0675,51.79,87.70,114.03,sunlit,,,,,
BNL11077,2016-03-14,PA-PNM,ANACEX,Diurnal 3,1,CHN,15,3.431,2,6.861,0.193,0.0785,59.33,114.41,87.41,sunlit,,,,,
BNL11078,2016-03-14,PA-PNM,CAL2CA,Diurnal 3,1,CHN,10,1.539,5,7.697,0.154,0.0774,49.72,100.60,99.40,sunlit,,,,,
BNL11079,2016-03-14,PA-PNM,CORDAL,Diurnal 3,1,CHN,15,3.431,2,6.861,0.136,0.0627,53.90,91.38,109.43,sunlit,,,,,
BNL11081,2016-03-14,PA-PNM,FICUIN,Diurnal 3,1,CHN,15,3.431,2,6.861,0.237,0.0772,67.43,112.51,88.88,sunlit,,,,,
BNL11082,2016-03-14,PA-PNM,FICUIN,Diurnal 3,1,CHN,15,3.431,2,6.861,0.219,0.0705,67.81,102.75,97.32,sunlit,,,,,
BNL11083,2016-03-14,PA-PNM,ALBIAD,Diurnal 3,1,CHN,7,0.801,6,4.807,0.103,0.0526,48.93,109.42,91.39,sunlit,,,,,
BNL11168,2016-03-14,PA-PNM,CASTEL,Diurnal 3,1,CHN,15,3.431,2,6.861,0.170,0.0809,52.41,117.92,84.80,sunlit,,,,,
BNL11171,2016-03-14,PA-PNM,ANTITR,Diurnal 3,1,CHN,15,3.431,2,6.861,0.155,0.0715,53.87,104.21,95.96,sunlit,,,,,
BNL11172,2016-03-14,PA-PNM,ALBIAD,Diurnal 3,1,CHN,7,0.801,7,5.608,0.099,0.0552,44.24,98.43,101.60,sunlit,,,,,
BNL11185,2016-03-14,PA-PNM,CASTEL,Diurnal 3,1,CHN,15,3.431,2,6.861,0.184,0.0754,59.02,109.89,91.00,sunlit,,,,,
BNL11430,2016-03-14,PA-PNM,ANTITR,Diurnal 4,1,CHN,15,3.431,2,6.861,0.107,0.0650,39.28,94.69,105.61,sunlit,,,,,
BNL11303,2016-03-14,PA-PNM,LUEHSE,Diurnal 4,1,CHN,15,3.431,2,6.861,0.164,0.0949,42.12,138.35,72.28,sunlit,,,,,
BNL11364,2016-03-14,PA-PNM,ANACEX,Diurnal 4,1,CHN,15,3.431,2,6.861,0.203,0.0582,71.35,84.75,117.99,sunlit,,,,,
BNL11065,2016-03-14,PA-PNM,CAL2CA,Diurnal 4,1,CHN,7,0.801,6,4.807,0.102,0.0493,51.67,102.56,97.51,sunlit,,,,,
